식품영양성분DB 20240301 배포본 (샘플 11줄)
식품코드,식품명,데이터구분명,영양성분함량기준량,에너지(kcal),단백질(g),지방(g),탄수화물(g),식품중량
D001,김치찌개_음식점,음식점,100g,45,4.5,2.8,3.1,400g
D002,비빔밥,음식점,100g,131,5.2,3.4,20.1,500g
D003,닭가슴살_구운것,가공식품,100g,165,31.0,3.6,0.0,100g
D004,된장찌개,음식점,100g,52,4.1,2.2,4.0,400g
D005,흰밥,가정식,100g,143,2.6,0.3,31.7,210g
D006,오렌지주스,가공식품,200mL,88,1.4,0.2,20.6,200mL
D007,제육덮밥,음식점,1회분(450g),,25.0,28.0,110.0,450g
D008,"라면, 봉지",가공식품,100g,,9.0,17.0,65.0,120g
D009,미역국,음식점,100g,,2.0,Tr,1.5,350g
D010,물,가공식품,100g,,-,-,-,
D011,,가공식품,100g,,1.0,1.0,1.0,100g
